name,image,class,class type,subclass,magic,tags,durability,strength,range,arrows,defense,defense_upgrade_lvl1,defense_upgrade_lvl2,defense_upgrade_lvl3,defense_upgrade_lvl4,bonus,description,selling_price,bonus_set,upgrade_1,upgrade_2,upgrade_3,upgrade_4,armor_upgrade,where_to_find,notes
Mighty Lynel Spear,BotW_Mighty_Lynel_Spear_Icon.png?version=6bd0df53e5c8928798db6daf3d169a6b (https://v5.airtableusercontent.com/v3/u/35/35/1731434400000/7WDHOHwop9V5j-jmNudrpA/WsrW1X-0lVoilKwHN_qy2opo3HexYzXf19Av2CWIN2a4AeyLUwGrPGvho0fnHzriEdmHUQ0UyHtMYRa4JmYJBcF427YBneKW26ftilhXNQJWso0rvfnyNd6gXinGp_cYSC8AWZZwFG3KO5fECnM6DqFf8mzbdplb9HQVNC__Fzg3Li3nDndcy1oGOAr755nn/8wYGSpkHAsXEEmAaHN4vDt4Y_RptG5MduTzzSnrxy50),Weapon,Spear,Heavy,No,,35,20,,,,,,,,,"The weight and cutting edge of this Lynel-made spear have both been enhanced. It's immensely heavy for a Hylian, but a Lynel can cleave through rock with a single swing.",,,,,,,,,
Moblin Arm,BotW_Moblin_Arm_Icon.png?version=0ce9ecb2f419329506aa8f27f75a6695 (https://v5.airtableusercontent.com/v3/u/35/35/1731434400000/pW1tjte-JwkG7Op3qo2MOg/qcBHe0Z0YfLCT-Lf7IBKpXUuP6b448JcpDkmYz3pwLJt9dBvDDSOsxAaE1_mkRdWRFAPxSb2hmioR6DBwkKT6xZVqy5s61BapMSTOE12K3w0yraZGEdmy6Roo8wSBhPlBdOD0XUo9eDi2zd-a2ni6NskwmnvG05jx_MleoTC8ak/9TjupVqtuPMUhZb-3pRPJYMbOupLU6LY-y_Osn484QU),Weapon,Club,Heavy,No,,5,15,,,,,,,,,A Moblin bone that continues to move even after being detached from its body. The bone is thick enough to be used as a weapon but is extremely brittle and easily broken.,,,,,,,,,
Moblin Club,BotW_Moblin_Club_Icon.png?version=244a3bc7981f45642129a04cd03640b0 (https://v5.airtableusercontent.com/v3/u/35/35/1731434400000/n5X8ILpri1WW3XCo8O1KPg/QXAmEF4dQkq5QqbdAOoTE2yPMS9g3sRQRD52Sq2rdJV-idViO7EUZrf7HdG1jd-7TD7JXES0FaKnImnkk9_-PME5ssRZaq4kkxJLeqTRLvNNoAbwt1D9wxwm6WTcQTyETtgiEE8aGUGhIZnrrwp0O_cXXHJq1Dy65I_L89bVl8k/BdD8YCM0RKsJY_PqR_hrL2M6cMKwc5LwnqLOgyWTu_k),Weapon,Club,Heavy,No,,12,9,,,,,,,,,"A crudely fashioned club favored by Moblins. It's carved from a sturdy tree but is sloppily made, so it breaks easily.",,,,,,,,,
Royal Claymore,BotW_Royal_Claymore_Icon.png?version=f28f21fc6ac7ce675a9fa6d5bf8d090c (https://v5.airtableusercontent.com/v3/u/35/35/1731434400000/ZwdlzEuGOJaqigU3vQuc2w/JA9PRL8N3gkshuV8aweAE87xPqS_KmOdmTCujxp40AeFd5_CNUgvHdE7ZKCB-takznwlkKC-r29dtx9aPhyn0WS8O5l7PFEDrd9uxkLms239_1M-HxC7PwC5ItLii7iQEG5GPCgd4vzWAwSTRJ3bnvrTuUD60TvUQXLkVEe2Qqk/k3PudmVYshRHrAQ0bcENIz74xawZpdksY15NtawmRJg),Weapon,Sword,Heavy,No,,40,52,,,,,,,,,A two-handed sword issued to the Hyrulean royal family's immediate guard detail. Its powerful strikes are said to crush an opponent's body and resolve alike.,,,,,,,,,
Royal Guard's Claymore,BotW_Royal_Guard%27s_Claymore_Icon.png?version=fd19bb7d8f817e9df3f1bb1c238fb874 (https://v5.airtableusercontent.com/v3/u/35/35/1731434400000/0U9_1Gc0hPm4dJya_4ys8g/bBw8ky568Zqjtdnf7iuqNXGenpRTkr6bIQUpG9OLR240V-ndVmbiLs2BQf7CM2KfVoUbVjnUe55ZpyvBiGKiTmfFD_DVERdeAEz1OPpXq-quggIsMIaQ5tQARjQLhGcchy7Du1iYyrj-1-PyMFFnqurovTCGr_dosf7W01m6zyQ51DThZAtS50lRdUhsPkUO/Mo9ISACxs0rIUtJzvEfEIrGAKGAu6-d5c3enfAQFVLw),Weapon,Sword,Heavy,No,,15,72,,,,,,,,,"The Sheikah used the very essence of ancient technology to forge this greatsword. It was designed to oppose the Calamity, but its low durability made it impractical in battle.",,,,,,,,,
Rusty Claymore,BotW_Rusty_Claymore_Icon.png?version=cb6d09a1b877133ef97184e323ec67e6 (https://v5.airtableusercontent.com/v3/u/35/35/1731434400000/eXwdeTA5NXw6K1Uad-N9Rg/pYi9ZVlrjsf9CCk6uX1Yc5glB_AMyrL-E5J5GJ1wGwr_cckNYmbA1EsbEi0DjdL7ioiueyBQ9P8Yz7DrLstO6Zs4ZJFZ2jfjuoTtFhsejXu3z4qg1CSZowxXsMkMUxiTDErvxYZ9kNMgz1isqt3obS_btaSJgGlJ97TCmdSMwdE/KcfvOF8YgZ4eQ6jev-aP9YkWF9wPo0NHwRoACjDUDP0),Weapon,Sword,Heavy,No,,10,12,,,,,,,,,"A two-handed sword not properly cared for. Although it can be used as a weapon, its durability is very low. Don't expect it to last for more than a few strikes.",,,,,,,,,
Savage Lynel Crusher,BotW_Savage_Lynel_Crusher_Icon.png?version=a6a8898e366431a8f6e195f888ad5ad4 (https://v5.airtableusercontent.com/v3/u/35/35/1731434400000/2YUdLXEcwSSmyqCanEVEUQ/3bdR0zneozyERTLFAFoLIcdDlMB3jOs_3iAZ963EDzSmqlmIZTLhR1BSRapJ9wiAv7YrMX6pTCszTMbVjwBsE6KUOHGEBDYZDrcZauo9eCyDE7gyd-CuFz_RxmnG5Q8yqiN7jPb_nJkRzeChjj345ixYeNzxAmCMsg3DX8aNyVADYHOqeCDSFmYPYno7LDL4/9bCxkQrrR92GW8dBQfKIXyDQlGGgXdBJY_gGrecgKbc),Weapon,Club,Heavy,No,,35,78,,,,,,,,,This Lynel-made two-handed weapon is immensely heavy thanks to a rare metal from Death Mountain's peak. The power of its downward swing is in a class all its own.,,,,,,,,,
Silver Longsword,BotW_Silver_Longsword_Icon.png?version=ac70373aa6632540e411c87d31576a76 (https://v5.airtableusercontent.com/v3/u/35/35/1731434400000/DdpIo5tyZxobO3dK8oDWmA/O6xrC_MntK60eCLTiWD8QiWG-ZACuc9tSU_kxp56f2LE51wGXihfRokN-NkCNXGa-JoPx2s_NeoJhggKZpkjpW0MvBrEPKyey3GP28Ubo0fna7w47XhmLHTXCdjfN1yIvqrV0TNwoFXu86wzBVflQAoFG3Vkcj9Ca40ecJ5fSsOJiPNQlJZiRI5b7ZxGc8C_/h3vJkt8wMbkFA29-ZfKUSkgzgajwuWSwvXhzGB8gX6Y),Weapon,Sword,Heavy,No,,30,22,,,,,,,,,"Although the Zora prefer spears to swords, they made this two-handed weapon using a special metal. It found popularity among Hylians for its unique design.",,,,,,,,,
Soldier's Claymore,BotW_Soldier%27s_Claymore_Icon.png?version=33412cedb33e12227744b753304207b4 (https://v5.airtableusercontent.com/v3/u/35/35/1731434400000/tYqL6rHJN7Tx6vltbzju8g/xKyoYYyETgnzT6qiNVdGaZIg9r8kkbCk9qriaTsCBAgVM9o6aqVkKSbJDUf8ppx5jKVCMdQ5z-4U6_oLg2uKeiJz2hyNG9k3gPU1eKa0hpAenym6UEYV-Cm0DZsRZ9dBiUrbuhncMpiRQR0TfUDdyu5Uj4dqHq73zsZvymbUe0VywHb7ktuOzT3QFMHYB7sd/_J5l63XMfqYeFLdE3_vG_yw9lPVOGDVK8NYIF-OiWDE),Weapon,Sword,Heavy,No,,25,20,,,,,,,,,A two-handed sword designed for combat. It's heavy and hard to use but has decent build quality and durability.,,,,,,,,,
Spiked Boko Bat,BotW_Spiked_Boko_Bat_Icon.png?version=5fdf6f4b947697b69af3eb0edeca15c4 (https://v5.airtableusercontent.com/v3/u/35/35/1731434400000/DUq8WAYUyIBFB3jRetMHOg/O4IR9DQCf9CBAv23yNxA6vznIizTLs-6SA6VRsOV6Og-yCUgDJrpI_birZDXNnPSQUozARf5S4lDoL1wwlRc1wzRblw6p9IsN8tfwSw-QK2NBS3EjYHQXQUsXawS6E4K84iNzd1eT6UdfY1g3hwCyw0e2FEEOsRX5Ei-2hL1jio/KrQMTbRE3_AVZzKjgZioodEuuV5fNCffEZ0E0CH6L6k),Weapon,Club,Heavy,No,,12,18,,,,,,,,,"After much consideration by Bokoblins on how to improve the Boko bat, they simply attached sharp spikes to it. A skilled fighter can cause immense damage with this.",,,,,,,,,
Spiked Moblin Club,BotW_Spiked_Moblin_Club_Icon.png?version=4c6f4a6bb162c6ca87693aa0b971f198 (https://v5.airtableusercontent.com/v3/u/35/35/1731434400000/wi8XFWD3DxyhQacRI-L2qA/0MDhzTPA749w25d3FwuaInV46H4jRB81XL5qTX37tsOU0hi7pvr0y3eeSdYmrauN_NeBXgovkZhqvFkvY6HUwM__q0vrcWEMMvQwBdSY03-7eBvpQbGe2wEP3-z3gJAbGcg2mJPhcG3ED9UHXpVv_mM29ym3ERueFkmPLmD_iesg7tvdC4glrPTZ3xG4_rlb/ULX1zUcok2widG9fjS39NIciaBXkm2xpPOam4sy77RA),Weapon,Club,Heavy,No,,18,27,,,,,,,,,Animal bone has been affixed to this Moblin club to greatly improve its damage.,,,,,,,,,
Stone Smasher,BotW_Stone_Smasher_Icon.png?version=0358768053162b235554b5cb5de678bc (https://v5.airtableusercontent.com/v3/u/35/35/1731434400000/fHhGvGkJ3Roc558aKlmTSQ/XJIwB520VJe2GW89KH5xIZ2q9haxrWRn3htXG0JlRttF8hid8dGvJ3LqRzaPfZ435z7dK9JWi479iQ1-vqjtRbHHd-7Vt6c5Tvqhe40tUQzpD8mZtZ2UOxHjWb1E3hic7TXh8JLq04BknE1nFIqAHI_jHB0ONWQGmAhJPomXoSY/5elZwEVNJS1oVe2G3MSI9IUikjHT89g-KXhatTbd2nc),Weapon,Club,Heavy,No,mining,40,42,,,,,,,,,"A two-handed weapon forged from a rare metal mined in Goron City. Its center of gravity is at its tip, so it uses centrifugal force and its sheer weight to smash opponents flat.",,,,,,,,,
Sword of the Six Sages,BotW_Sword_of_the_Six_Sages_Icon.png?version=013a03d5863f4e7f358f748328364a64 (https://v5.airtableusercontent.com/v3/u/35/35/1731434400000/GTZfb-AOwvvBWBZNRtpjBQ/1Y9tvxuwE3tJdfXuyzgV_NcDaQuX7vVdgI6nS6LqeSTUyRx4P-81DmHOQEODhziDnHvXw4VLQGe7er7yfRLrmmayjxT1Jtv1oDpL_dZqwBsox7r5W70jizzWhNMH_oXkj44c_GhKmq9lTpW9nMOHHjS2PUP-Mil0QYTuj1d8-o-3W60OD73v260Pedfbdh9L/lUUoDxB3Atq67p1qrGQBHUR7wiZkBZQgOunSKMGOeFo),Weapon,Sword,Heavy,No,,50,48,,,,,,,,,The Six Sages are said to have forged this longsword to seal a demon king in the world where the hero fought against the beasts of twilight. The blade shines with a holy luster.,,,,,,,,,
Traveler's Claymore,BotW_Traveler%27s_Claymore_Icon.png?version=157d4bf8324b296313c99a982b6bd59d (https://v5.airtableusercontent.com/v3/u/35/35/1731434400000/GPEutOJgla0P9-Y339PARw/FnzcY3ZUw6sSh8PxJzC1uTIeitEqQjTaycw4FblQ8myBeGYEobJ4-8cOacbFvbblMtS_aVceaxmu5qRJycQueSKit21bCmtztpkaBJMJyNwONJVE5_vGQyZ0ioGr40gM4FEkceCpB4p-YMCj-GhFeIcPB42OfdMl0B6bthRrzm02G-wqxjnS-YypSLuQGD-v/t-_n5YCfvmD73KN4bkAakIi-NBdv_d4rT8XUBOFLWYI),Weapon,Sword,Heavy,No,,20,10,,,,,,,,,A basic two-handed sword often wielded by aspiring adventurers. Its immense weight can knock enemies' shields right out of their hands.,,,,,,,,,
Windcleaver,BotW_Windcleaver_Icon.png?version=c1539d20d7e46ed96b44bad78e7c9877 (https://v5.airtableusercontent.com/v3/u/35/35/1731434400000/Ck9JNC1Ei5PKbgETOnICGQ/vEUanBX-wJvLtmZTmvu94YXVYcaSGumLvsypIX1JRDgcsN0_HyTbSLQ0owqMvONHuH_ddGwUedcvuUMrgOgKs9SJgB-o57u0q81NH4fhJ-Gy0Ch_J5BgmkbzwQ4TgbODrvBhPdXsVv74TjQSm1Zc-nwtNvmuX_qm3AO8mruL4p8/X1veBMHiJEC3jcoZcZ98gsXBMkAdS_TAlGgD2mZsNtQ),Weapon,Axe,Heavy,No,,25,40,,,,,,,,,"This sword is favored by high-ranking members of the Yiga. When wielded by a proficient fighter, its unique shape cleaves the very wind and creates a vacuum.",,,,,,,,,
Woodcutter's Axe,BotW_Woodcutter%27s_Axe_Icon.png?version=95f41c560cf067a29a02489fa0520592 (https://v5.airtableusercontent.com/v3/u/35/35/1731434400000/9CI6VqcGKuUNT5ukkBOomQ/7frfCbSV3ve8x-nEh8zKUZYXpXVtZRf4QmmBxuapWDGuUJZCoN-qp8aFeO30pN2byEUNAKTtocEd5BTtCXpBvZYbCxY8pcpmvJ_TkTJh-AYqt5MCMhwC5YCrcIG6Of8QRX3xjDEGdrlvuRVC_uiYUet89Bez0a3GvxO-IL1eIYQuNd7rYBDffKsIqQ6dn0y4/EOJHbJlE1_LC2L0XyyAn6uiEeu3HtabUqR0Uk4EF-KI),Weapon,Axe,Heavy,No,,47,3,,,,,,,,,"A woodcutter's tool of choice for felling trees. Its formidable weight and uneven balancing make it a slow, inefficient weapon.",,,,,,,,,
Ancient Spear,BotW_Ancient_Spear_Icon.png?version=e690cd33f2dc36054e02dc49abbbb2f5 (https://v5.airtableusercontent.com/v3/u/35/35/1731434400000/frG5tXsOq7nVF1taufgHGA/pWAlVlAhdRjDyqONMEUgdzlAePaj6uWDPVspuTja2HfpvyrJ_tkzp2Tg4Rj8XsKHhlsBkIGpUoWYnDqFka4B_xfVNbVvA8Vlg7q5i9kmuaMZGXbeFNhrSlMj_zbqzPrfXls3lUkwJ8yDmHH0E3ISB4vpXMMJQ7hK_wXmjyQfKuo/uozSpode41oRKM9bgeVMHqXJGoZz4EWjSQXqaVqJQ_A),Weapon,Spear,Pole-arm,No,,50,30,,,,,,,,,This spear is the result of countless hours of research into the ancient technology used by Guardians. The glowing spearhead has high piercing potential.,,,,,,,,,
Boko Spear,BotW_Boko_Spear_Icon.png?version=864bc6544f6947661d29b04fb788e99b (https://v5.airtableusercontent.com/v3/u/35/35/1731434400000/WjtpW29foSw0q1F2X4gzcg/41zV6eHPZeLhSaNRBCLjUXmoyr_5wbcKyP60ie7gJtt6QNv8nRFLLi8NGD615NW-hxoayqtb_RRGfDp7586voT1iQYdoTasBbZ3wsRn4MtA0glYXOAMiZRVFQscjUyVRX2gbVmzHeLZtLt7gjTGJN-BxtAuclwBvz759Ab73CXk/-2WC6k318GfKLrwNrS-MET00H8U9MgNB2bXMHcu6oDk),Weapon,Spear,Pole-arm,No,,12,2,,,,,,,,,"A spear recklessly carved from a tree branch. Useful for skewering fish and meat, which can then be cooked over a flame. If it's close to breaking, consider throwing it.",,,,,,,,,
Ceremonial Trident,BotW_Ceremonial_Trident_Icon.png?version=689a055fa55eff273b90aac9c0533d98 (https://v5.airtableusercontent.com/v3/u/35/35/1731434400000/_D3o88nPI0eD2xGlFB6ygA/FUS7szu3-TjaJEXx2-g2DIqGdvFz2ZzFlnikTuDrDK_XUOdEaZaFsDi2EUg8I0ZNPMWRFJ5RCOdUnioRXqXrOlgOvVhHFy7fstMHiJxUIhjxzk2gOISQaipyjPrvBJjeL9997jW_2kk-QnXnKfMD0ap-RNjIJ8vzarl2qSNKTo8cYAOwgX1NXWymwCUhvjFo/XEVt27nxJCYUhkvEHpYjEios7qYlcYR4uj7sAYoRjqI),Weapon,Spear,Pole-arm,No,,40,14,,,,,,,,,"A spear modeled after the Lightscale Trident wielded by the Zora Champion Mipha. They may be identical in appearance, but this spear's strength and durability are inferior.",,,,,,,,,
Dragonbone Boko Spear,BotW_Dragonbone_Boko_Spear_Icon.png?version=90132586e3e9994d264140d15d459977 (https://v5.airtableusercontent.com/v3/u/35/35/1731434400000/Lwy3ZUZLjFr-fMo6R046Zw/xpuqaEVugCvWCMx7xezskdiXIExzjWnH3hofZT9f9VlvsRx9XPj4XRsERVsf_86QgruPldsRB2lHTHOSdSUcU99Us4mrmgw4npvjtEGbH1l-1lyU7tD0nxWbvKX7vPbF7DTcfScyvttL0KlXrACYQXWMerhxF76hYH4hLCcz2cHZwM63igfgSMuzNKjDBBfk/hwDwM-H8B2yaajW1RcjWwVOXituvqjfxvlqn8orkaFs),Weapon,Spear,Pole-arm,No,,20,12,,,,,,,,,This Boko spear has been strengthened with fossilized bones. The bones are positioned outward so the fangs bite at the opponent. Beware Bokoblins carrying this weapon.,,,,,,,,,
Dragonbone Moblin Spear,BotW_Dragonbone_Moblin_Spear_Icon.png?version=394e1f959662815148112c19b891bda1 (https://v5.airtableusercontent.com/v3/u/35/35/1731434400000/0LB9TMqXpHx36GchTADcfg/P1fyGZmQHUwmUFdH0B_0vPHYhIBOIMiNjw5koq1VUu1XizDS97tmT3jP1EOEPrEorRhXYhfLxrb64w_Gvy0jQrr8nbbPKftmkwQqHMS2KOigD3LtsylOY5wO-88YBhflZiqAd-oSkYa52Zr9F_Aq_SaSFWMAb9W_SmxD1MC3v7LWceZrPji-Y4I6MLj4v-iV/0Mk2TcWE2Sn5rIqywnMbsPBjM4vs1ukawp_QkPMUfWo),Weapon,Spear,Pole-arm,No,,25,15,,,,,,,,,"This spear is a fan favorite among Moblins. The spearhead is made from fossilized bones adorned with spikes, which greatly increases its stabbing power.",,,,,,,,,
Enhanced Lizal Spear,BotW_Enhanced_Lizal_Spear_Icon.png?version=3382d7737201a6b50d4dc19ed768c58e (https://v5.airtableusercontent.com/v3/u/35/35/1731434400000/AAYWda8Qg90sZ4nbq1N1YQ/bVZ2YBKIbf3gYSsL7XC5JHXqrDo35_BmjPFxtFZPwsjsvaS5afI7KJ1MmSEEGh5Iy73QYnhfqMYpQG7waVQlqoYlZBE9pySCQeLzPzCNkK75RzoNcqRUvxeCh4f1LGkzRMSqTDSQ0wMS8rMHK8zRa2-fm3ZPKeBBd0oKXr3h1zwBB3cGsb-MsisIZW5a6vqm/SZSkDelLIsbxomWUrx7POKX1CKP4ydfIlDwxs-ZNYXs),Weapon,Spear,Pole-arm,No,,22,12,,,,,,,,,"Judging by the harpoon-like spearhead of this Lizalfos-made spear, the Lizalfos use it for fishing as well as combat. Try not to get caught on the wrong end of its barbs.",,,,,,,,,
Farmer's Pitchfork,BotW_Farmer%27s_Pitchfork_Icon.png?version=c4e8d7161023c1f9cf8ee8d0f91ca7ca (https://v5.airtableusercontent.com/v3/u/35/35/1731434400000/TIQa9A2NquVZ8rKN1xj6lw/tf1QFlMwZrnZbCbFReMai5c0ii-TYlp79xIGpI3_Yr-OrUZaDAfatwIgIm-S71YP1HWtvhhWx2BvWgbvv82RCkeG7ttWEfnbfoS6KKHAWkNJk04E8AsMaRJGNIIwi9sF8FkuhJrP_TNcUHlQA4U22Zmp-2agD0GH8n4ZALWrayswEM0H2bdWeYAg1u5B4UF6/e2jjZpFnm8KU3NWBbHYFSxojI5I9k7NOydai-WxIUgk),Weapon,Spear,Pole-arm,No,,12,2,,,,,,,,,A farming tool used to collect hay efficiently. It's light enough to be used by anyone. The four prongs are very sharp.,,,,,,,,,
Feathered Spear,BotW_Feathered_Spear_Icon.png?version=4007014c2879920f30c88d21c557115b (https://v5.airtableusercontent.com/v3/u/35/35/1731434400000/r3jFXigcCuJE1y1ytBwSbw/hJbo8U1WMLeHlFGvDQCDmyL4FLMsRQqDiCBjNIO6kGIOf6pofjJ27-yNm0wlN8KISRtFA7bU_Xk6yrLAkyC-hmh-Y-B8sHPcBArY4r6XokncxSsXhDEsg_GkEv39IFGZMxiVSyN6IqV21b24Dzauas0uJxbOp-V6K05_kRpHEok/EyqxCzzJlQg7idDtqB7r7URPzj_HwFlQ22HWlzQXeJQ),Weapon,Spear,Pole-arm,No,,35,10,,,,,,,,,"Its lightweight design is a hallmark of Rito craftsmanship. It's made from light and sturdy materials, which afford Rito warriors ease of use during aerial combat.",,,,,,,,,
Flamespear,BotW_Flamespear_Icon.png?version=e674f710762533de79392199f8ec9a21 (https://v5.airtableusercontent.com/v3/u/35/35/1731434400000/70O5mzfQtyxmDKd-ySqKPQ/DYzw467dygqBGEf1cBwi3OYD3e1tkRbaGtzbOHtvDnGPeHuc0rv2zChQYkTkvf5yN3Cimj__aGCDo3i5kgPf0Pb5I68k3aUN1jeGYyXB0bqm8_n3iVolUMgPb9ovemp9qF3ru4QCML1wuv9nQJE5Yr-aLZ7iW-9xewGnM9ZErvY/dsS9EReYcTPnt4gHGMIW5O0knqvfSRv8_wug5SzaLDw),Weapon,Spear,Pole-arm,Yes,,50,24,,,,,,,,,A magical spear forged in the magma of Death Mountain. Attack when the blade glows to expel powerful flames.,,,,,,,,,
Forest Dweller's Spear,BotW_Forest_Dweller%27s_Spear_Icon.png?version=7d24ba7d5e9bc8c49f37b62e561ae6a6 (https://v5.airtableusercontent.com/v3/u/35/35/1731434400000/IglrU-aMH_Hn3ASkgBarGw/z9WjPQ8ZKXeJDzQ2iB4Mf148aY5EWxfAgqkadA7EbLwefy934bh3PVoequB9bm3lu4KEE43n70SCZBGQEI-6MY_W5FqcKuqaX3UdAB214LnCNEmF7ByyNVqtkOLP-6ki6VuyfA2uMBmU75h6oM4RQIp7pPszGRKzu-1k3IF3FPAKO_qBWkalTOn_huLiqFmt/0EhbyqOTikvtIhoZbJJXCt0P6ANCFE1e4lpDEk45PT0),Weapon,Spear,Pole-arm,No,,35,11,,,,,,,,,"The Koroks made this spear for Hylians. The shaft is made from a light, sturdy wood, offering ease of use. The spearhead is made from a much harder wood, offering strength.",,,,,,,,,
Forked Lizal Spear,BotW_Forked_Lizal_Spear_Icon.png?version=2e07158bbced3704a9168a194501083c (https://v5.airtableusercontent.com/v3/u/35/35/1731434400000/EZzch0KHPdhylDb5FmAwjA/MZqjkBHCgidnsJx6ZkOqLrIALpq17UYBAAomoReFBdNJk9wKp4Vx3RDBb1x6_uhyS-jt9sBX4YNYrIDfkUH6eia3Ddj3ZsZHPuzN4YGRUJj-mBh-DwpzLv1I3XZVSdpX9T2HW4CGqysCO6qR949PCw3AuzMGCDJ-R391jrjh3uiiexPjrB17XXOVosNpYnWb/EFTg_pYPjl8ND_bgIVZnaB_MiCBwmnO0aZIL3pVmlrg),Weapon,Spear,Pole-arm,No,,28,18,,,,,,,,,"Skilled Lizalfos warriors tend to favor this spear. What it lacks in piercing power, it makes up for with the brutal wounds its dual ripping blades will inflict.",,,,,,,,,
Frostspear,BotW_Frostspear_Icon.png?version=195fbd5001a3bd1bb731884968b5b229 (https://v5.airtableusercontent.com/v3/u/35/35/1731434400000/pD-9Uf4Ax9UEvaigOUfL7Q/QXGYgdWcUKMpmZvjlDBGqyZS6PFczPOQ1gAN4nWtvESujSyiJWtOP-EjScKsVgVLKqWI6eOuObqQQnRpwRuAH16kYKcytoKjmDrWCPtW8oqsCKD6l6SE9ytn2N4A6kw4I53bRI0oOxWQ24hrA2YnPiX-QL6xIPaaIZ-aLxZinMg/kLzrYlBbt_wdFVWBowyLyqtAnsHp_reKoUFY4Qy51rk),Weapon,Spear,Pole-arm,Yes,,40,20,,,,,,,,,A magical spear forged from ancient ice taken from the Hebra Mountains. Attack when the blade glows blue to chill the air and freeze your foe.,,,,,,,,,
Gerudo Spear,BotW_Gerudo_Spear_Icon.png?version=37e61b25bec7b192047368b522f6c400 (https://v5.airtableusercontent.com/v3/u/35/35/1731434400000/ECdQ5bryGaF7SKK7kqQOUw/vBV85pbcyxZaxAB5XNcoJ9f_-jm3upMBHjoFP3Sgg-oVoSjIqGB6p85kZHz5MwXOCaOYxpnQOiepngYRIRGurR41i2HD2b-URh34jkzb_j-p42XonkSLmphSGvpjk2zfIZWhJFMr2xQNyowhCvxwqHJVzb5Rf0W6H0CGriVyanc/DvqHcWHar6dNsn3Td96bN3Gk5y_q58BVYouvygTqc_k),Weapon,Spear,Pole-arm,No,,35,16,,,,,,,,,"This spear's center of gravity is in its tip, making it a bit unwieldy for the average fighter. But in the hands of a skilled Gerudo warrior, it's a weapon of reliable strength.",,,,,,,,,
Guardian Spear,BotW_Guardian_Spear_Icon.png?version=d83e52d8b853b4a4b565bce894c23fad (https://v5.airtableusercontent.com/v3/u/35/35/1731434400000/JUUl2CykJaQNbJphIiidSA/6zTZe16XHOEcg21AnvLpDiEkjKUmInGXcWtI60eaxRohsW9fhlalWe6r_AJ8mOeWs1sXixX4TIDWmCxPN6IPVKm_-s62W_oHROSVE0zmrGmA3M-shqKPRG4910DEWr2WMdANRm0lUGmrtJGVP9130O1Zmih1vxSesDPoJ8lP-kE/JKW_tn5lazl8qUd1vzM_sG3ElTn_Jz4Ml7ytEc3ruRU),Weapon,Spear,Pole-arm,No,,20,10,,,,,,,,,"Wielded by Guardian Scouts, this spear has a high piercing power and is a testament to the Sheikah's high level of technology. the spearhead appears only when brandished.",,,,,,,,,
Guardian Spear+,BotW_Guardian_Spear%EF%BC%8B_Icon.png?version=b8c854a74e13ac93a2cad1eea2922062 (https://v5.airtableusercontent.com/v3/u/35/35/1731434400000/WucQ-utZaf8dLwMFAROTPQ/CC3Jev36sLkqwh2CUCN5k0niEuPMOI6zQZWJJ9wJ2jHDwYKVRO92rS8ti_vnh_-QCFOSFKcfPmBmdiHHs26ZYz5ZJDG7Oe06Cp_1jS6WDYUbqpQvdgoiIjUfNJImxwuyaoOtFrC0p5DNzlinN7P8hmtkslnu5dnaSJ1yVoWYrbm7__ih-Q8lGIhn7eezewN3/ZMDS9_5CsGrp4QFBdVKdO5qy9I13oaQtQ4XvUDOQ0bU),Weapon,Spear,Pole-arm,No,,25,15,,,,,,,,,"The tip of this Guardian spear has been enlarged and strengthened. It's a bit shorter than your average spear, perhaps to facilitate use in tight spaces.",,,,,,,,,
Guardian Spear++,BotW_Guardian_Spear%EF%BC%8B%EF%BC%8B_Icon.png?version=631dda4cf4935de7a37e23e0615769de (https://v5.airtableusercontent.com/v3/u/35/35/1731434400000/OpWyefi-ecbfK3ANtSSbyA/mK-J5OhBJx2sjKWBXSt00M4oY5akuTGSXqn25d7xJsWecHlMxcteAWysFHae6QKAuQKEmvv5aBrdKyXWNm3HTwLxFLIY0A5nwcP8zC3D6PcRtZAUFfgcm6QogOd7QmLeZkFBjBMy-Jzr839KfHGKbhO9MQX-zhXt9Cmyig72t4RtBBH7kLAYWusmvNmz5uFd7evt6t7GkYF5ugksSCuCng/US6881LQ5NUpjVFCp4hrY8yNQN5ck-cWOj941G9g62s),Weapon,Spear,Pole-arm,No,,35,20,,,,,,,,,"This Guardian spear's output has been boosted to the maximum. The spearhead is designed for optimal stabbing, capable of easily piercing most armor.",,,,,,,,,
Knight's Halberd,BotW_Knight%27s_Halberd_Icon.png?version=90974207fb88bd108ecfc0c3b7121e71 (https://v5.airtableusercontent.com/v3/u/35/35/1731434400000/tbnDOC6sjPz8aD4FrbWa3w/KLvXmYcRolfbakHNrF-5diFrPjfB0b86dy5I9XW7trmiSDV6T67rSbvDFvam1VAu6-uX7l8vzj_XcDKCpiN9WhWDa7SmFm_YML-uakBBIpDLfU0cfB-t4QjsY7sPz7eZR312yBeI2tXywG5TJRzynyqJla5r2HqKx3U5hdyArMzfCLLbED_nHEfbUKAwAYYb/WC3izUXYZrC3Axz-6wouum6yMqK61VD2K0AU3SGKgqM),Weapon,Spear,Pole-arm,No,,40,13,,,,,,,,,A spear used by knights adept in mounted combat. The spearhead is modeled after an axe.,,,,,,,,,
