Recipe Name,Class,Category,Heart Recovery,Bonus 1,Bonus 2,Buff Effect,Item Description,All Ingredients,Ingredient
Egg Tart,Cake and Sweets,Cooked,4,None,None,None,You'll know this simple dessert is done baking when it smells just delightful.,"Tabantha Wheat, Bird Egg, Cane Sugar, Goat Butter", Cane Sugar
Egg Tart,Cake and Sweets,Cooked,4,None,None,None,You'll know this simple dessert is done baking when it smells just delightful.,"Tabantha Wheat, Bird Egg, Cane Sugar, Goat Butter", Goat Butter
Electro Elixir,Other Recipes,Elixir,0,Resistance,None,Electro,Grants a X-level resistance to electricity. Useful against enemies with electrical attacks.,"Thunderwing Butterfly, Electric Darner",Thunderwing Butterfly
Electro Elixir,Other Recipes,Elixir,0,Resistance,None,Electro,Grants a X-level resistance to electricity. Useful against enemies with electrical attacks.,"Thunderwing Butterfly, Electric Darner", Electric Darner
Enduring Elixir,Other Recipes,Elixir,0,Stamina,None,Enduring,Restores stamina and temporarily extends your Stamina Wheel. The additional stamina will disappear as it's used.,Tireless Frog,Tireless Frog
Energizing Elixir,Other Recipes,Elixir,0,Stamina,None,Energizing,"Restores your Stamina, which is used when performing physical actions such as climbing walls and swimming.","Restless Cricket, Energetic Rhino Beetle",Restless Cricket
Energizing Elixir,Other Recipes,Elixir,0,Stamina,None,Energizing,"Restores your Stamina, which is used when performing physical actions such as climbing walls and swimming.","Restless Cricket, Energetic Rhino Beetle", Energetic Rhino Beetle
Energizing Glazed Meat,Other Recipes,Cooked,3,Stamina,None,None,"The sweetness of the honey permeates the meat, giving it a complex taste profile.","Courser Bee Honey, Raw Bird Thigh, Raw Bird Drumstick, Raw Gourmet Meat, Raw Meat, Raw Prime Meat, Raw Whole Bird",Courser Bee Honey
Energizing Glazed Meat,Other Recipes,Cooked,3,Stamina,None,None,"The sweetness of the honey permeates the meat, giving it a complex taste profile.","Courser Bee Honey, Raw Bird Thigh, Raw Bird Drumstick, Raw Gourmet Meat, Raw Meat, Raw Prime Meat, Raw Whole Bird", Raw Bird Thigh
Energizing Glazed Meat,Other Recipes,Cooked,3,Stamina,None,None,"The sweetness of the honey permeates the meat, giving it a complex taste profile.","Courser Bee Honey, Raw Bird Thigh, Raw Bird Drumstick, Raw Gourmet Meat, Raw Meat, Raw Prime Meat, Raw Whole Bird", Raw Bird Drumstick
Energizing Glazed Meat,Other Recipes,Cooked,3,Stamina,None,None,"The sweetness of the honey permeates the meat, giving it a complex taste profile.","Courser Bee Honey, Raw Bird Thigh, Raw Bird Drumstick, Raw Gourmet Meat, Raw Meat, Raw Prime Meat, Raw Whole Bird", Raw Gourmet Meat
Energizing Glazed Meat,Other Recipes,Cooked,3,Stamina,None,None,"The sweetness of the honey permeates the meat, giving it a complex taste profile.","Courser Bee Honey, Raw Bird Thigh, Raw Bird Drumstick, Raw Gourmet Meat, Raw Meat, Raw Prime Meat, Raw Whole Bird", Raw Meat
Energizing Glazed Meat,Other Recipes,Cooked,3,Stamina,None,None,"The sweetness of the honey permeates the meat, giving it a complex taste profile.","Courser Bee Honey, Raw Bird Thigh, Raw Bird Drumstick, Raw Gourmet Meat, Raw Meat, Raw Prime Meat, Raw Whole Bird", Raw Prime Meat
Energizing Glazed Meat,Other Recipes,Cooked,3,Stamina,None,None,"The sweetness of the honey permeates the meat, giving it a complex taste profile.","Courser Bee Honey, Raw Bird Thigh, Raw Bird Drumstick, Raw Gourmet Meat, Raw Meat, Raw Prime Meat, Raw Whole Bird", Raw Whole Bird
Energizing Honey Candy,Other Recipes,Cooked,2,Stamina,None,None,"A natural sweet, brimming with nutrition and made by stewing fresh honey.",Courser Bee Honey,Courser Bee Honey
Energizing Honeyed Apple,Other Recipes,Cooked,5,Stamina,None,None,A juicy sweet-and-sour dish combining newly ripened apples with honey.,"Apple, Courser Bee Honey",Apple
Energizing Honeyed Apple,Other Recipes,Cooked,5,Stamina,None,None,A juicy sweet-and-sour dish combining newly ripened apples with honey.,"Apple, Courser Bee Honey", Courser Bee Honey
Fairy Tonic,Other Recipes,Elixir,7,None,None,None,This powerful recovery elixir harnesses the power of fairies. It has a sweet fragrance.,Fairy,Fairy
Fireproof Elixir,Other Recipes,Elixir,0,Fire Resistance,,Fireproof,"Grants a fireproof effect, which prevents your body from catching fire. Be sure to pack this when venturing out to explore Death Mountain.","Fireproof Lizard, Smotherwing Butterfly",Fireproof Lizard
Fireproof Elixir,Other Recipes,Elixir,0,Fire Resistance,,Fireproof,"Grants a fireproof effect, which prevents your body from catching fire. Be sure to pack this when venturing out to explore Death Mountain.","Fireproof Lizard, Smotherwing Butterfly", Smotherwing Butterfly
Fish And Mushroom Skewer,Seafood,Cooked,3,None,None,None,"A simple dish made by cooking skewered, fresh fish alongside fragrant mushrooms.","Rushroom, Sunshroom, Zapshroom, Ironshroom, Chillshroom, Razorshroom, Endura Shroom, Hylian Shroom, Silent Shroom",Rushroom
Fish And Mushroom Skewer,Seafood,Cooked,3,None,None,None,"A simple dish made by cooking skewered, fresh fish alongside fragrant mushrooms.","Rushroom, Sunshroom, Zapshroom, Ironshroom, Chillshroom, Razorshroom, Endura Shroom, Hylian Shroom, Silent Shroom", Sunshroom
Fish And Mushroom Skewer,Seafood,Cooked,3,None,None,None,"A simple dish made by cooking skewered, fresh fish alongside fragrant mushrooms.","Rushroom, Sunshroom, Zapshroom, Ironshroom, Chillshroom, Razorshroom, Endura Shroom, Hylian Shroom, Silent Shroom", Zapshroom
Fish And Mushroom Skewer,Seafood,Cooked,3,None,None,None,"A simple dish made by cooking skewered, fresh fish alongside fragrant mushrooms.","Rushroom, Sunshroom, Zapshroom, Ironshroom, Chillshroom, Razorshroom, Endura Shroom, Hylian Shroom, Silent Shroom", Ironshroom
Fish And Mushroom Skewer,Seafood,Cooked,3,None,None,None,"A simple dish made by cooking skewered, fresh fish alongside fragrant mushrooms.","Rushroom, Sunshroom, Zapshroom, Ironshroom, Chillshroom, Razorshroom, Endura Shroom, Hylian Shroom, Silent Shroom", Chillshroom
Fish And Mushroom Skewer,Seafood,Cooked,3,None,None,None,"A simple dish made by cooking skewered, fresh fish alongside fragrant mushrooms.","Rushroom, Sunshroom, Zapshroom, Ironshroom, Chillshroom, Razorshroom, Endura Shroom, Hylian Shroom, Silent Shroom", Razorshroom
Fish And Mushroom Skewer,Seafood,Cooked,3,None,None,None,"A simple dish made by cooking skewered, fresh fish alongside fragrant mushrooms.","Rushroom, Sunshroom, Zapshroom, Ironshroom, Chillshroom, Razorshroom, Endura Shroom, Hylian Shroom, Silent Shroom", Endura Shroom
Fish And Mushroom Skewer,Seafood,Cooked,3,None,None,None,"A simple dish made by cooking skewered, fresh fish alongside fragrant mushrooms.","Rushroom, Sunshroom, Zapshroom, Ironshroom, Chillshroom, Razorshroom, Endura Shroom, Hylian Shroom, Silent Shroom", Hylian Shroom
Fish And Mushroom Skewer,Seafood,Cooked,3,None,None,None,"A simple dish made by cooking skewered, fresh fish alongside fragrant mushrooms.","Rushroom, Sunshroom, Zapshroom, Ironshroom, Chillshroom, Razorshroom, Endura Shroom, Hylian Shroom, Silent Shroom", Silent Shroom
Fish Pie,Seafood,Cooked,4,None,None,None,"A mainstay in any fisherman's home, the crisp crust pairs well with the fishy flavor.","Tabantha Wheat, Goat Butter, Rock Salt, Any Seafood",Tabantha Wheat
Fish Pie,Seafood,Cooked,4,None,None,None,"A mainstay in any fisherman's home, the crisp crust pairs well with the fishy flavor.","Tabantha Wheat, Goat Butter, Rock Salt, Any Seafood", Goat Butter
Fish Pie,Seafood,Cooked,4,None,None,None,"A mainstay in any fisherman's home, the crisp crust pairs well with the fishy flavor.","Tabantha Wheat, Goat Butter, Rock Salt, Any Seafood", Rock Salt
Fish Pie,Seafood,Cooked,4,None,None,None,"A mainstay in any fisherman's home, the crisp crust pairs well with the fishy flavor.","Tabantha Wheat, Goat Butter, Rock Salt, Any Seafood", Any Seafood
Fish Skewer,Seafood,Cooked,2,None,None,None,A simple dish made by cooking chunks of fresh fish on a skewer.,"Armored Carp, Armored Porgy, Voltfin Trout, Chillfin Trout, Sizzlefin Trout, Stealthfin Trout, Hearty Bass, Hyrule Bass, Staminoka Bass",Armored Carp
Fish Skewer,Seafood,Cooked,2,None,None,None,A simple dish made by cooking chunks of fresh fish on a skewer.,"Armored Carp, Armored Porgy, Voltfin Trout, Chillfin Trout, Sizzlefin Trout, Stealthfin Trout, Hearty Bass, Hyrule Bass, Staminoka Bass", Armored Porgy
Fish Skewer,Seafood,Cooked,2,None,None,None,A simple dish made by cooking chunks of fresh fish on a skewer.,"Armored Carp, Armored Porgy, Voltfin Trout, Chillfin Trout, Sizzlefin Trout, Stealthfin Trout, Hearty Bass, Hyrule Bass, Staminoka Bass", Voltfin Trout
Fish Skewer,Seafood,Cooked,2,None,None,None,A simple dish made by cooking chunks of fresh fish on a skewer.,"Armored Carp, Armored Porgy, Voltfin Trout, Chillfin Trout, Sizzlefin Trout, Stealthfin Trout, Hearty Bass, Hyrule Bass, Staminoka Bass", Chillfin Trout
Fish Skewer,Seafood,Cooked,2,None,None,None,A simple dish made by cooking chunks of fresh fish on a skewer.,"Armored Carp, Armored Porgy, Voltfin Trout, Chillfin Trout, Sizzlefin Trout, Stealthfin Trout, Hearty Bass, Hyrule Bass, Staminoka Bass", Sizzlefin Trout
Fish Skewer,Seafood,Cooked,2,None,None,None,A simple dish made by cooking chunks of fresh fish on a skewer.,"Armored Carp, Armored Porgy, Voltfin Trout, Chillfin Trout, Sizzlefin Trout, Stealthfin Trout, Hearty Bass, Hyrule Bass, Staminoka Bass", Stealthfin Trout
Fish Skewer,Seafood,Cooked,2,None,None,None,A simple dish made by cooking chunks of fresh fish on a skewer.,"Armored Carp, Armored Porgy, Voltfin Trout, Chillfin Trout, Sizzlefin Trout, Stealthfin Trout, Hearty Bass, Hyrule Bass, Staminoka Bass", Hearty Bass
Fish Skewer,Seafood,Cooked,2,None,None,None,A simple dish made by cooking chunks of fresh fish on a skewer.,"Armored Carp, Armored Porgy, Voltfin Trout, Chillfin Trout, Sizzlefin Trout, Stealthfin Trout, Hearty Bass, Hyrule Bass, Staminoka Bass", Hyrule Bass
Fish Skewer,Seafood,Cooked,2,None,None,None,A simple dish made by cooking chunks of fresh fish on a skewer.,"Armored Carp, Armored Porgy, Voltfin Trout, Chillfin Trout, Sizzlefin Trout, Stealthfin Trout, Hearty Bass, Hyrule Bass, Staminoka Bass", Staminoka Bass
Fragrant Mushroom Sauté,Vegetables,Cooked,1,None,None,None,The fragrant aroma of this sautéed spice and mushroom dish makes your mouth water.,"Rushroom, Sunshroom, Zapshroom, Ironshroom, Chillshroom, Razorshroom, Endura Shroom, Hylian Shroom, Silent Shroom",Rushroom
Fragrant Mushroom Sauté,Vegetables,Cooked,1,None,None,None,The fragrant aroma of this sautéed spice and mushroom dish makes your mouth water.,"Rushroom, Sunshroom, Zapshroom, Ironshroom, Chillshroom, Razorshroom, Endura Shroom, Hylian Shroom, Silent Shroom", Sunshroom
Fragrant Mushroom Sauté,Vegetables,Cooked,1,None,None,None,The fragrant aroma of this sautéed spice and mushroom dish makes your mouth water.,"Rushroom, Sunshroom, Zapshroom, Ironshroom, Chillshroom, Razorshroom, Endura Shroom, Hylian Shroom, Silent Shroom", Zapshroom
Fragrant Mushroom Sauté,Vegetables,Cooked,1,None,None,None,The fragrant aroma of this sautéed spice and mushroom dish makes your mouth water.,"Rushroom, Sunshroom, Zapshroom, Ironshroom, Chillshroom, Razorshroom, Endura Shroom, Hylian Shroom, Silent Shroom", Ironshroom
Fragrant Mushroom Sauté,Vegetables,Cooked,1,None,None,None,The fragrant aroma of this sautéed spice and mushroom dish makes your mouth water.,"Rushroom, Sunshroom, Zapshroom, Ironshroom, Chillshroom, Razorshroom, Endura Shroom, Hylian Shroom, Silent Shroom", Chillshroom
Fragrant Mushroom Sauté,Vegetables,Cooked,1,None,None,None,The fragrant aroma of this sautéed spice and mushroom dish makes your mouth water.,"Rushroom, Sunshroom, Zapshroom, Ironshroom, Chillshroom, Razorshroom, Endura Shroom, Hylian Shroom, Silent Shroom", Razorshroom
Fragrant Mushroom Sauté,Vegetables,Cooked,1,None,None,None,The fragrant aroma of this sautéed spice and mushroom dish makes your mouth water.,"Rushroom, Sunshroom, Zapshroom, Ironshroom, Chillshroom, Razorshroom, Endura Shroom, Hylian Shroom, Silent Shroom", Endura Shroom
Fragrant Mushroom Sauté,Vegetables,Cooked,1,None,None,None,The fragrant aroma of this sautéed spice and mushroom dish makes your mouth water.,"Rushroom, Sunshroom, Zapshroom, Ironshroom, Chillshroom, Razorshroom, Endura Shroom, Hylian Shroom, Silent Shroom", Hylian Shroom
Fragrant Mushroom Sauté,Vegetables,Cooked,1,None,None,None,The fragrant aroma of this sautéed spice and mushroom dish makes your mouth water.,"Rushroom, Sunshroom, Zapshroom, Ironshroom, Chillshroom, Razorshroom, Endura Shroom, Hylian Shroom, Silent Shroom", Silent Shroom
Fried Bananas,Cake and Sweets,Cooked,3,Attack,None,None,Children love fried mighty bananas. The trick is frying them over very high heat.,"Mighty Bananas, Tabantha Wheat, Cane Sugar",Mighty Bananas
Fried Bananas,Cake and Sweets,Cooked,3,Attack,None,None,Children love fried mighty bananas. The trick is frying them over very high heat.,"Mighty Bananas, Tabantha Wheat, Cane Sugar", Tabantha Wheat
Fried Bananas,Cake and Sweets,Cooked,3,Attack,None,None,Children love fried mighty bananas. The trick is frying them over very high heat.,"Mighty Bananas, Tabantha Wheat, Cane Sugar", Cane Sugar
Fried Egg And Rice,Other Recipes,Cooked,4,None,None,None,The soft egg yolk pairs well with the fresh rice in this simple dish.,"Hylian Rice, Bird Egg",Hylian Rice
Fried Egg And Rice,Other Recipes,Cooked,4,None,None,None,The soft egg yolk pairs well with the fresh rice in this simple dish.,"Hylian Rice, Bird Egg", Bird Egg
Fried Wild Greens,Vegetables,Cooked,2,None,None,None,A basic vegetable dish made by sautéing fresh wild plants.,"Any Vegetable, Any Flower or Herb",Any Vegetable
Fried Wild Greens,Vegetables,Cooked,2,None,None,None,A basic vegetable dish made by sautéing fresh wild plants.,"Any Vegetable, Any Flower or Herb", Any Flower or Herb
Frozen Bass,Other Recipes,Frozen,2,Heat Resistance,None,Chilly,"That's one cold fish. Eating it won't restore many hearts, but it will lower your body temperature a bit.","Hyrule Bass, Staminoka Bass",Hyrule Bass
Frozen Bass,Other Recipes,Frozen,2,Heat Resistance,None,Chilly,"That's one cold fish. Eating it won't restore many hearts, but it will lower your body temperature a bit.","Hyrule Bass, Staminoka Bass", Staminoka Bass
Frozen Bird Drumstick,Other Recipes,Frozen,1,Heat Resistance,None,Chilly,It's as hard as a rock but is supposedly edible. It restores a small number of hearts and has a cooling effect.,Raw Bird Drumstick,Raw Bird Drumstick
Frozen Bird Thigh,Other Recipes,Frozen,1,Heat Resistance,None,Chilly,"High-quality, frozen bird meat. It's so solid it looks like it could be used as a weapon. Eating it will restore some hearts and cool you down, but don't break your teeth on it.",Raw Bird Thigh,Raw Bird Thigh
Frozen Carp,Other Recipes,Frozen,1,Heat Resistance,None,Chilly,"The crunchy, icy texture of this chilled carp is quite the delicacy. Eating it will temporarily increase your heat resistance.","Sanke Carp, Armored Carp",Sanke Carp
Frozen Carp,Other Recipes,Frozen,1,Heat Resistance,None,Chilly,"The crunchy, icy texture of this chilled carp is quite the delicacy. Eating it will temporarily increase your heat resistance.","Sanke Carp, Armored Carp", Armored Carp
Frozen Crab,Other Recipes,Frozen,2,Heat Resistance,None,Chilly,"Doesn't provide as much companionship as an unfrozen crab, but it won't spoil during your travels. Eat it to gain a temporary boost to your heat resistance.","Ironshell Crab, Bright-Eyed Crab, Razorclaw Crab",Ironshell Crab
Frozen Crab,Other Recipes,Frozen,2,Heat Resistance,None,Chilly,"Doesn't provide as much companionship as an unfrozen crab, but it won't spoil during your travels. Eat it to gain a temporary boost to your heat resistance.","Ironshell Crab, Bright-Eyed Crab, Razorclaw Crab", Bright-Eyed Crab
Frozen Crab,Other Recipes,Frozen,2,Heat Resistance,None,Chilly,"Doesn't provide as much companionship as an unfrozen crab, but it won't spoil during your travels. Eat it to gain a temporary boost to your heat resistance.","Ironshell Crab, Bright-Eyed Crab, Razorclaw Crab", Razorclaw Crab
Frozen Hearty Bass,Other Recipes,Frozen,2,Heat Resistance,None,Chilly,"This hearty bass has been frozen by cool air. Eating it will be a challenge because it's frozen solid, but if you persevere, it will temporarily increase your heat resistance.",Hearty Bass,Hearty Bass
Frozen Hearty Salmon,Other Recipes,Frozen,1,Heat Resistance,None,Chilly,"This salmon doesn't taste quite as fishy because the excess fat has been removed. It's exceptionally cold, so eating it provides a temporary boost to heat resistance.",Hearty Salmon,Hearty Salmon
Frozen River Snail,Other Recipes,Frozen,1,Heat Resistance,None,Chilly,"The distinct glow of this sneaky river snail has diminished after it's been frozen, but eating it will provide a temporary increase to your heat resistance.",Sneaky River Snail,Sneaky River Snail
Frozen Trout,Other Recipes,Frozen,1,Heat Resistance,None,Chilly,Being frozen has condensed the taste of fish inside this trout's body. Eating it will provide a temporary boost to your heat resistance.,"Voltfin Trout, Chillfin Trout, Sizzlefin Trout, Stealthfin Trout",Voltfin Trout
Frozen Trout,Other Recipes,Frozen,1,Heat Resistance,None,Chilly,Being frozen has condensed the taste of fish inside this trout's body. Eating it will provide a temporary boost to your heat resistance.,"Voltfin Trout, Chillfin Trout, Sizzlefin Trout, Stealthfin Trout", Chillfin Trout
Frozen Trout,Other Recipes,Frozen,1,Heat Resistance,None,Chilly,Being frozen has condensed the taste of fish inside this trout's body. Eating it will provide a temporary boost to your heat resistance.,"Voltfin Trout, Chillfin Trout, Sizzlefin Trout, Stealthfin Trout", Sizzlefin Trout
Frozen Trout,Other Recipes,Frozen,1,Heat Resistance,None,Chilly,Being frozen has condensed the taste of fish inside this trout's body. Eating it will provide a temporary boost to your heat resistance.,"Voltfin Trout, Chillfin Trout, Sizzlefin Trout, Stealthfin Trout", Stealthfin Trout
Frozen Whole Bird,Other Recipes,Frozen,3,Heat Resistance,None,Chilly,"This raw whole bird may have been frozen solid, but its flavor remains intact. Eating it will provide a temporary boost to your heat resistance.",Raw Whole Bird,Raw Whole Bird
Fruit And Mushroom Mix,Vegetables,Cooked,2,None,None,None,This dish contrasts the sweetness of fruit with the savoriness of mushrooms.,"Apple, Fleet-Lotus Seeds, Hearty Durian, Hydromelon, Mighty Bananas, Palm Fruit, Spicy Pepper, Voltfruit, Wildberry",Apple
Fruit And Mushroom Mix,Vegetables,Cooked,2,None,None,None,This dish contrasts the sweetness of fruit with the savoriness of mushrooms.,"Apple, Fleet-Lotus Seeds, Hearty Durian, Hydromelon, Mighty Bananas, Palm Fruit, Spicy Pepper, Voltfruit, Wildberry", Fleet-Lotus Seeds
Fruit And Mushroom Mix,Vegetables,Cooked,2,None,None,None,This dish contrasts the sweetness of fruit with the savoriness of mushrooms.,"Apple, Fleet-Lotus Seeds, Hearty Durian, Hydromelon, Mighty Bananas, Palm Fruit, Spicy Pepper, Voltfruit, Wildberry", Hearty Durian
Fruit And Mushroom Mix,Vegetables,Cooked,2,None,None,None,This dish contrasts the sweetness of fruit with the savoriness of mushrooms.,"Apple, Fleet-Lotus Seeds, Hearty Durian, Hydromelon, Mighty Bananas, Palm Fruit, Spicy Pepper, Voltfruit, Wildberry", Hydromelon
Fruit And Mushroom Mix,Vegetables,Cooked,2,None,None,None,This dish contrasts the sweetness of fruit with the savoriness of mushrooms.,"Apple, Fleet-Lotus Seeds, Hearty Durian, Hydromelon, Mighty Bananas, Palm Fruit, Spicy Pepper, Voltfruit, Wildberry", Mighty Bananas
Fruit And Mushroom Mix,Vegetables,Cooked,2,None,None,None,This dish contrasts the sweetness of fruit with the savoriness of mushrooms.,"Apple, Fleet-Lotus Seeds, Hearty Durian, Hydromelon, Mighty Bananas, Palm Fruit, Spicy Pepper, Voltfruit, Wildberry", Palm Fruit
Fruit And Mushroom Mix,Vegetables,Cooked,2,None,None,None,This dish contrasts the sweetness of fruit with the savoriness of mushrooms.,"Apple, Fleet-Lotus Seeds, Hearty Durian, Hydromelon, Mighty Bananas, Palm Fruit, Spicy Pepper, Voltfruit, Wildberry", Spicy Pepper
Fruit And Mushroom Mix,Vegetables,Cooked,2,None,None,None,This dish contrasts the sweetness of fruit with the savoriness of mushrooms.,"Apple, Fleet-Lotus Seeds, Hearty Durian, Hydromelon, Mighty Bananas, Palm Fruit, Spicy Pepper, Voltfruit, Wildberry", Voltfruit
Fruit And Mushroom Mix,Vegetables,Cooked,2,None,None,None,This dish contrasts the sweetness of fruit with the savoriness of mushrooms.,"Apple, Fleet-Lotus Seeds, Hearty Durian, Hydromelon, Mighty Bananas, Palm Fruit, Spicy Pepper, Voltfruit, Wildberry", Wildberry
Fruit Pie,Other Recipes,Cooked,3,None,None,None,A celebration isn't a celebration until this fruit-filled crust hits the table!,"Tabantha Wheat, Cane Sugar, Goat Butter, Fleet-Lotus Seeds, Hearty Durian, Hydromelon, Mighty Bananas, Palm Fruit, Spicy Pepper",Tabantha Wheat
Fruit Pie,Other Recipes,Cooked,3,None,None,None,A celebration isn't a celebration until this fruit-filled crust hits the table!,"Tabantha Wheat, Cane Sugar, Goat Butter, Fleet-Lotus Seeds, Hearty Durian, Hydromelon, Mighty Bananas, Palm Fruit, Spicy Pepper", Cane Sugar
Fruit Pie,Other Recipes,Cooked,3,None,None,None,A celebration isn't a celebration until this fruit-filled crust hits the table!,"Tabantha Wheat, Cane Sugar, Goat Butter, Fleet-Lotus Seeds, Hearty Durian, Hydromelon, Mighty Bananas, Palm Fruit, Spicy Pepper", Goat Butter
Fruit Pie,Other Recipes,Cooked,3,None,None,None,A celebration isn't a celebration until this fruit-filled crust hits the table!,"Tabantha Wheat, Cane Sugar, Goat Butter, Fleet-Lotus Seeds, Hearty Durian, Hydromelon, Mighty Bananas, Palm Fruit, Spicy Pepper", Fleet-Lotus Seeds
Fruit Pie,Other Recipes,Cooked,3,None,None,None,A celebration isn't a celebration until this fruit-filled crust hits the table!,"Tabantha Wheat, Cane Sugar, Goat Butter, Fleet-Lotus Seeds, Hearty Durian, Hydromelon, Mighty Bananas, Palm Fruit, Spicy Pepper", Hearty Durian
Fruit Pie,Other Recipes,Cooked,3,None,None,None,A celebration isn't a celebration until this fruit-filled crust hits the table!,"Tabantha Wheat, Cane Sugar, Goat Butter, Fleet-Lotus Seeds, Hearty Durian, Hydromelon, Mighty Bananas, Palm Fruit, Spicy Pepper", Hydromelon
Fruit Pie,Other Recipes,Cooked,3,None,None,None,A celebration isn't a celebration until this fruit-filled crust hits the table!,"Tabantha Wheat, Cane Sugar, Goat Butter, Fleet-Lotus Seeds, Hearty Durian, Hydromelon, Mighty Bananas, Palm Fruit, Spicy Pepper", Mighty Bananas
Fruit Pie,Other Recipes,Cooked,3,None,None,None,A celebration isn't a celebration until this fruit-filled crust hits the table!,"Tabantha Wheat, Cane Sugar, Goat Butter, Fleet-Lotus Seeds, Hearty Durian, Hydromelon, Mighty Bananas, Palm Fruit, Spicy Pepper", Palm Fruit
Fruit Pie,Other Recipes,Cooked,3,None,None,None,A celebration isn't a celebration until this fruit-filled crust hits the table!,"Tabantha Wheat, Cane Sugar, Goat Butter, Fleet-Lotus Seeds, Hearty Durian, Hydromelon, Mighty Bananas, Palm Fruit, Spicy Pepper", Spicy Pepper
Fruitcake,Cake and Sweets,Cooked,5,None,None,None,"Making ample use of fruits found all over Hyrule, this cake is a must for celebrations.","Apple, Wildberry, Tabantha Wheat, Cane Sugar, Fleet-Lotus Seeds, Hearty Durian, Hydromelon, Mighty Bananas, Voltfruit",Apple
Fruitcake,Cake and Sweets,Cooked,5,None,None,None,"Making ample use of fruits found all over Hyrule, this cake is a must for celebrations.","Apple, Wildberry, Tabantha Wheat, Cane Sugar, Fleet-Lotus Seeds, Hearty Durian, Hydromelon, Mighty Bananas, Voltfruit", Wildberry
Fruitcake,Cake and Sweets,Cooked,5,None,None,None,"Making ample use of fruits found all over Hyrule, this cake is a must for celebrations.","Apple, Wildberry, Tabantha Wheat, Cane Sugar, Fleet-Lotus Seeds, Hearty Durian, Hydromelon, Mighty Bananas, Voltfruit", Tabantha Wheat
Fruitcake,Cake and Sweets,Cooked,5,None,None,None,"Making ample use of fruits found all over Hyrule, this cake is a must for celebrations.","Apple, Wildberry, Tabantha Wheat, Cane Sugar, Fleet-Lotus Seeds, Hearty Durian, Hydromelon, Mighty Bananas, Voltfruit", Cane Sugar
Fruitcake,Cake and Sweets,Cooked,5,None,None,None,"Making ample use of fruits found all over Hyrule, this cake is a must for celebrations.","Apple, Wildberry, Tabantha Wheat, Cane Sugar, Fleet-Lotus Seeds, Hearty Durian, Hydromelon, Mighty Bananas, Voltfruit", Fleet-Lotus Seeds
Fruitcake,Cake and Sweets,Cooked,5,None,None,None,"Making ample use of fruits found all over Hyrule, this cake is a must for celebrations.","Apple, Wildberry, Tabantha Wheat, Cane Sugar, Fleet-Lotus Seeds, Hearty Durian, Hydromelon, Mighty Bananas, Voltfruit", Hearty Durian
Fruitcake,Cake and Sweets,Cooked,5,None,None,None,"Making ample use of fruits found all over Hyrule, this cake is a must for celebrations.","Apple, Wildberry, Tabantha Wheat, Cane Sugar, Fleet-Lotus Seeds, Hearty Durian, Hydromelon, Mighty Bananas, Voltfruit", Hydromelon
Fruitcake,Cake and Sweets,Cooked,5,None,None,None,"Making ample use of fruits found all over Hyrule, this cake is a must for celebrations.","Apple, Wildberry, Tabantha Wheat, Cane Sugar, Fleet-Lotus Seeds, Hearty Durian, Hydromelon, Mighty Bananas, Voltfruit", Mighty Bananas
Fruitcake,Cake and Sweets,Cooked,5,None,None,None,"Making ample use of fruits found all over Hyrule, this cake is a must for celebrations.","Apple, Wildberry, Tabantha Wheat, Cane Sugar, Fleet-Lotus Seeds, Hearty Durian, Hydromelon, Mighty Bananas, Voltfruit", Voltfruit
Glazed Mushrooms,Vegetables,Cooked,5,Depends,None,None,"The honey in this mushroom dish gives it a sweet, complex taste and a savory finish.","Rushroom, Sunshroom, Zapshroom, Ironshroom, Chillshroom, Razorshroom, Endura Shroom, Hylian Shroom, Silent Shroom",Rushroom
Glazed Mushrooms,Vegetables,Cooked,5,Depends,None,None,"The honey in this mushroom dish gives it a sweet, complex taste and a savory finish.","Rushroom, Sunshroom, Zapshroom, Ironshroom, Chillshroom, Razorshroom, Endura Shroom, Hylian Shroom, Silent Shroom", Sunshroom
Glazed Mushrooms,Vegetables,Cooked,5,Depends,None,None,"The honey in this mushroom dish gives it a sweet, complex taste and a savory finish.","Rushroom, Sunshroom, Zapshroom, Ironshroom, Chillshroom, Razorshroom, Endura Shroom, Hylian Shroom, Silent Shroom", Zapshroom
Glazed Mushrooms,Vegetables,Cooked,5,Depends,None,None,"The honey in this mushroom dish gives it a sweet, complex taste and a savory finish.","Rushroom, Sunshroom, Zapshroom, Ironshroom, Chillshroom, Razorshroom, Endura Shroom, Hylian Shroom, Silent Shroom", Ironshroom
Glazed Mushrooms,Vegetables,Cooked,5,Depends,None,None,"The honey in this mushroom dish gives it a sweet, complex taste and a savory finish.","Rushroom, Sunshroom, Zapshroom, Ironshroom, Chillshroom, Razorshroom, Endura Shroom, Hylian Shroom, Silent Shroom", Chillshroom
Glazed Mushrooms,Vegetables,Cooked,5,Depends,None,None,"The honey in this mushroom dish gives it a sweet, complex taste and a savory finish.","Rushroom, Sunshroom, Zapshroom, Ironshroom, Chillshroom, Razorshroom, Endura Shroom, Hylian Shroom, Silent Shroom", Razorshroom
Glazed Mushrooms,Vegetables,Cooked,5,Depends,None,None,"The honey in this mushroom dish gives it a sweet, complex taste and a savory finish.","Rushroom, Sunshroom, Zapshroom, Ironshroom, Chillshroom, Razorshroom, Endura Shroom, Hylian Shroom, Silent Shroom", Endura Shroom
